-DOCSTART- -X- -X- O
general JJ X O
guidance NN X O
of IN X O
the DT X O
team NN X O
and CC X O
the DT X O
surrounding VBG X O
responsibilities NNS X O
will MD X O
take VB X O
priority NN X O
to TO X O
allow VB X O
a DT X O
platform NN X O
and CC X O
foundation NN X O
for IN X O
growth NN X O
. . X O

Previous JJ X O
experience NN X O
in IN X O
parallel JJ X B-Skill
implementation NN X I-Skill
of IN X I-Skill
vision NN X I-Skill
algorithms NN X I-Skill
is VBZ X O
desirable JJ X O
. . X O

The DT X O
Person NNP X O
: : X O
The DT X O
successful JJ X O
candidate NN X O
will MD X O
have VB X O
a DT X B-Skill
background NN X I-Skill
in IN X I-Skill
corporate JJ X I-Skill
business NN X I-Skill
to TO X I-Skill
business NN X I-Skill
, , X O
FMCG NNP X B-Skill
or CC X O
foodservice NN X B-Skill
in IN X I-Skill
some DT X I-Skill
sort NN X I-Skill
of IN X I-Skill
sales NNS X I-Skill
orientated VBN X I-Skill
capacity NN X I-Skill
. . X O

Mechanical NNP X B-Occupation
Engineer NNP X I-Occupation
East NNP X O
Anglia NNP X O
A NNP X O
Mechanical NNP X B-Occupation
Engineer NNP X I-Occupation
is VBZ X O
needed VBN X O
for IN X O
an DT X O
exciting NN X O
and CC X O
rapidly RB X O
expanding VBG X B-Skill
consultancy NN X I-Skill
. . X O

This DT X O
UK NNP X O
based VBN X O
staff NN X O
position NN X O
is VBZ X O
within IN X O
the DT X O
technical JJ X B-Domain
directorate NN X I-Domain
team NN X O
with IN X O
the DT X O
successful JJ X O
candidate NN X O
gaining VBG X O
the DT X O
responsibility NN X O
for IN X O
the DT X O
operations NNS X O
of IN X O
performance NN X B-Skill
optimisation NN X I-Skill
teams NNS X O
and CC X O
shall MD X O
have VB X O
the DT X O
opportunity NN X O
to TO X O
review VB X B-Skill
and CC X I-Skill
implement JJ X I-Skill
improvements NNS X I-Skill
to TO X I-Skill
operational JJ X I-Skill
practise NN X I-Skill
. . X O

A DT X O
technology NN X O
solutions NNS X O
originator NN X O
and CC X O
reputable JJ X O
specialist NN X O
contractor NN X O
across IN X O
Asia NNP X O
Pacific NNP X O
is VBZ X O
seeking VBG X O
suitable JJ X O
professionals NNS X O
and CC X O
talents NNS X O
to TO X O
join VB X O
their PRP$ X O
organization NN X O
. . X O

We PRP X O
provide VBP X O
secondary JJ X O
education NN X O
and CC X O
support NN X O
to TO X O
ensure VB X O
their PRP$ X O
capabilities NNS X O
are VBP X O
fully RB X O
realised VBN X O
. . X O

My PRP$ X O
client NN X O
, , X O
an DT X O
organisation NN X O
within IN X O
the DT X O
Financial NNP X B-Domain
Services NNPS X O
domain NN X O
are VBP X O
looking VBG X O
for IN X O
. . X O
NET NN X B-Skill

**** NN X O
hours NNS X O
a DT X O
week NN X O
with IN X O
time NN X O
and CC X O
half NN X O
paid VBN X O
after IN X O
this DT X O
and CC X O
all DT X O
day NN X O
Saturdays NNP X O
, , X O
double JJ X O
time NN X O
on IN X O
Sundays NNS X O
. . X O

**** NN X O
to TO X O
work VB X O
for IN X O
an DT X O
international JJ X O
organisation NN X O
based VBN X O
in IN X O
Oxfordshire NNP X O
, , X O
due JJ X O
to TO X O
a DT X O
period NN X O
of IN X O
substantial JJ X O
growth NN X O
. . X O

Our PRP$ X O
client NN X O
, , X O
a DT X O
leading JJ X O
investment NN X O
bank NN X O
in IN X O
London NNP X O
, , X O
is VBZ X O
currently RB X O
looking VBG X O
to TO X O
hire VB X O
an DT X O
experienced JJ X O
Technical NNP X B-Occupation
Business NNP X I-Occupation
Analyst NNP X I-Occupation
to TO X O
work VB X O
full JJ X O
time NN X O
in IN X O
their PRP$ X O
London NNP X O
based VBN X O
headquarters NNS X O
. . X O

You PRP X O
will MD X O
be VB X O
an DT X O
excellent JJ X O
communicator NN X B-Skill
and CC X O
will MD X O
want VB X O
to TO X O
develop VB X O
a DT X O
career NN X O
in IN X O
a DT X O
leading JJ X O
organisation NN X O
. . X O

You PRP X O
will MD X O
need VB X O
to TO X O
be VB X O
comfortable JJ X B-Skill
with IN X I-Skill
travel NN X I-Skill
and CC X O
be VB X B-Skill
in IN X I-Skill
a DT X I-Skill
multisite JJ X I-Skill
role NN X I-Skill
now RB X I-Skill
or CC X O
have VBP X B-Skill
done VBN X I-Skill
a DT X I-Skill
multisite JJ X I-Skill
role NN X I-Skill
previously RB X I-Skill
. . X O

Very RB X O
strong JJ X O
, , X O
experienced JJ X O
and CC X O
well RB X O
known VBN X O
management NN X O
team NN X O
within IN X O
the DT X O
Big NNP X O
Data NNP X O
world NN X O
Privately NNP X O
held VBD X O
and CC X O
very RB X O
cash NN X O

You PRP X O
will MD X O
be VB X B-Skill
a DT X I-Skill
calming JJ X I-Skill
influence NN X I-Skill
, , X O
and CC X O
able JJ X B-Skill
to TO X I-Skill
deliver VB X I-Skill
the DT X I-Skill
best JJS X I-Skill
your PRP$ X I-Skill
business NN X I-Skill
has VBZ X I-Skill
to TO X I-Skill
offer VB X I-Skill
, , X O
even RB X O
under IN X B-Skill
the DT X I-Skill
most RBS X I-Skill
pressured JJ X I-Skill
situations NNS X I-Skill

The DT X O
ability NN X B-Skill
to TO X I-Skill
influence NN X I-Skill
and CC X I-Skill
negotiate VB X I-Skill
all DT X O
stakeholders NNS X O
Excellent NNP X O
verbal NN X B-Skill
and CC X O
written VBN X B-Skill
communication NN X I-Skill
skills NNS X I-Skill
to TO X O
create VB X B-Skill
and CC X I-Skill
develop VB X I-Skill
relationships NNS X I-Skill
with IN X I-Skill
new JJ X I-Skill
prospects NNS X I-Skill
, , X O
clients NNS X B-Skill
and CC X I-Skill
suppliers NNS X I-Skill
. . X O

Joining VBG X O
this DT X O
independent JJ X O
consultancy NN X O
you PRP X O
can MD X O
expect VB X O
to TO X O
work VB X B-Skill
with IN X I-Skill
industry NN X I-Skill
experts NNS X I-Skill
on IN X I-Skill
a DT X I-Skill
variety NN X I-Skill
of IN X I-Skill
oil NN X I-Skill
s NN X I-Skill
or CC X I-Skill
FPSO NNP X I-Skill
s NN X I-Skill
. . X O

The DT X O
Role NNP X O
The DT X O
Chief NNP X B-Occupation
Engineer NNP X I-Occupation
is VBZ X O
primarily RB X O
a DT X O
building NN X B-Skill
facilities NNS X I-Skill
and CC X O
engineering NN X B-Skill
role NN X O
. . X O

Our PRP$ X O
client NN X O
is VBZ X O
a DT X O
long JJ X O
established VBN X O
charitable JJ X O
organisation NN X O
providing VBG X B-Skill
support NN X I-Skill
and CC X I-Skill
assistance NN X I-Skill
to TO X I-Skill
service NN X I-Skill
personnel NNS X I-Skill
in IN X O
the DT X O
armed JJ X O
forces NNS X O
both DT X O
past JJ X O
and CC X O
present JJ X O
. . X O

The DT X O
venue NN X O
is VBZ X O
very RB X O
popular JJ X O
for IN X O
weddings NNS X O
and CC X O
considered VBN X O
to TO X O
be VB X O
one CD X O
of IN X O
the DT X O
most RBS X O
prestigious JJ X O
in IN X O
the DT X O
area NN X O
. . X O

This DT X O
is VBZ X O
an DT X O
exciting JJ X O
opportunity NN X O
for IN X O
dynamic JJ X B-Skill
and CC X O
driven JJ X O
retail JJ X B-Domain
, , X O
leisure NN X B-Domain
or CC X O
hospitality NN X B-Domain
managers NNS X B-Occupation
to TO X O
progress VB X O
their PRP$ X O
career NN X O
with IN X O
one CD X O
of IN X O
the DT X O
UK NNP X O
s NN X O
largest JJS X O
blue JJ X O
chip NN X O
food NN X O
retailers NNS X O
. . X O

Elevation NNP X O
Engineering NNP X O
& CC X O
Manufacturing NNP X O
is VBZ X O
a DT X O
specialist JJ X O
division NN X O
of IN X O
Elevation NNP X O
Recruitment NNP X O
focusing VBG X O
on IN X O
engineering NN X B-Skill
, , X O
operational JJ X B-Skill
, , X O
technical JJ X B-Skill
positions NNS X I-Skill
in IN X O
Yorkshire NNP X O
and CC X O
surrounding VBG X O
regions NNS X O
. . X O

actual JJ X O
shift NN X O
times NNS X O
are VBP X O
determined VBN X O
by IN X O
local JJ X O
demand NN X O
, , X O
unless IN X O
with IN X O
prior JJ X O
Patrol NNP X O
agreement NN X O
The DT X O
latest JJS X O
possible JJ X O
endofshift NN X O
time NN X O
excluding VBG X O
dedicated VBN X O
night NN X O
shifts NNS X O
is VBZ X O

Very RB X O
well RB X B-Skill
presented VBN X I-Skill
with IN X O
a DT X O
proactive JJ X B-Skill
, , X O
friendly JJ X B-Skill
attitude VBP X O
The DT X O
Benefits NNP X O
General NNP X B-Occupation
Manager NNP X I-Occupation
Excellent NNP X O
package NN X O
up RB X O
to TO X O

K NNP X O
Equity NNP X O
COMPANY NNP X O
INFORMATION NNP X O
Dynamic NNP X O
technology NN X O
start VBZ X O
up RP X O
specialising VBG X O
in IN X O
Big NNP X O
Data NNP X O
solutions NNS X O

Do VBP X O
you PRP X O
enjoy VB X O
SEO NNP X B-Occupation
and CC X O
learning VBG X O
as RB X O
much RB X O
as IN X O
you PRP X O
can MD X O
about IN X O
all DT X O
aspects NNS X O
of IN X O
digital JJ X B-Domain
marketing NN X I-Domain
? . X O

Due JJ X O
to TO X O
the DT X O
contracted VBN X O
beds NNS X O
and CC X O
mix NN X O
of IN X O
the DT X O
clients NNS X O
within IN X O
the DT X O
home NN X O
it PRP X O
makes VBZ X O
this DT X O
position NN X O
very RB X O
attractive JJ X O
as IN X O
a DT X O
great JJ X O
opportunity NN X O
to TO X O
enhance VB X O
your PRP$ X O
skillset NN X O
and CC X O
experience NN X O
and CC X O
because IN X O
of IN X O
this DT X O
candidates NNS X O
from IN X O
a DT X O
hospital NN X B-Domain
background NN X I-Domain
can MD X O
also RB X O
be VB X O
considered VBN X O
. . X O

Recognising VBG X O
the DT X O
wider NN X O
wealth NN X B-Skill
planning VBG X I-Skill
needs NNS X O
of IN X O
customers NNS X O
in IN X O
order NN X O
to TO X O
refer VB X B-Skill
customers NNS X I-Skill
to TO X I-Skill
other JJ X I-Skill
areas NNS X I-Skill
of IN X I-Skill
the DT X I-Skill
business NN X I-Skill
where WRB X O
their PRP$ X O
needs NNS X O
for IN X O
nonregulated JJ X B-Domain
products NNS X I-Domain
can MD X O
be VB X O
met VBN X O
. . X O

The DT X O
ability NN X B-Skill
to TO X I-Skill
manually RB X I-Skill
Powder NNP X I-Skill
Coat NNP X I-Skill
would MD X O
be VB X O
an DT X O
advantage NN X O
. . X O

A DT X O
1st CD X O
tier NN X O
Trading NN X O
House NNP X O
requires VBZ X O
a DT X O
Senior NNP X O
C NNP X B-Occupation
Flex NNP X I-Occupation
Developer NNP X I-Occupation
to TO X O
join VB X O
the DT X O
London NNP X O
based VBN X O
team NN X O
. . X O

If IN X O
you PRP X O
are VBP X O
not RB X O
contacted VBN X O
within IN X O
7 CD X O
days NNS X O
of IN X O
your PRP$ X O
application NN X O
, , X O
then RB X O
unfortunately RB X O
your PRP$ X O
application NN X O
has VBZ X O
been VBN X O
unsuccessful JJ X O
on IN X O
this DT X O
occasion NN X O
. . X O

This DT X O
will MD X O
cover VB X O
; : X O
oStrategic JJ X B-Skill
planning NN X I-Skill
of IN X I-Skill
core NN X I-Skill
ecommerce NN X I-Skill
disciplines NNS X O
with IN X O
a DT X O
particular JJ X O
strength NN X B-Skill
in IN X I-Skill
the DT X I-Skill
digital JJ X I-Skill
space NN X I-Skill
oResponsible NN X O
for IN X O
operational JJ X B-Skill
delivery NN X I-Skill
and CC X O
achieving VBG X O
clients NNS X O
results NNS X O
oLeading VBG X B-Skill
the DT X I-Skill
client NN X I-Skill
relationship NN X I-Skill
directly RB X O
and CC X O
with IN X O
the DT X O
relevant JJ X O
media NNS X O
and CC X O
technology NN X O
partners NNS X O
oDeveloping VBG X B-Skill
the DT X I-Skill
clients NNS X I-Skill
relationship NN X I-Skill
with IN X O
the DT X O
agency NN X O
oManaging VBG X B-Skill
the DT X I-Skill
commercial JJ X I-Skill
agreements NNS X I-Skill
and CC X I-Skill
negotiations NNS X I-Skill
oEnsuring VBG X I-Skill
constant JJ X I-Skill
innovation NN X I-Skill
across IN X O
planning NN X O
, , X O
tactics NNS X O
and CC X O
technology NN X O

MMC NNP X O
, , X O
one CD X O
of IN X O
the DT X O
largest JJS X O
professional JJ X O
services NNS X O
organizations NNS X O
and CC X O
a DT X O
major JJ X O
player NN X O
in IN X O
the DT X O
global JJ X O
insurance NN X O
sector NN X O
. . X O

The DT X O
20 CD X O
hours NNS X O
per IN X O
week NN X O
are VBP X O
flexible JJ X O
so IN X O
you PRP X O
can MD X O
determine VB X O
the DT X O
hours NNS X O
that WDT X O
will MD X O
be VB X O
most RBS X O
beneficial JJ X O
to TO X O
you PRP X O

For IN X O
more JJR X O
information NN X O
about IN X O
this DT X O
role NN X O
please NN X O
contact VB X O
our PRP$ X O
London NNP X O
office NN X O

Liaise NN X O
with IN X O
Project NNP X O
Management NNP X O
Client NNP X O
Services NNPS X O
on IN X O
project NN X O
status NN X O
and CC X O
resources NNS X O
. . X O

An DT X O
excellent JJ X O
and CC X O
unique JJ X O
opportunity NN X O
to TO X O
build VB X O
a DT X O
role NN X O
around IN X O
your PRP$ X O
ability NN X O
to TO X O
develop VB X O
the DT X O
role NN X O
as RB X O
well RB X O
as IN X O
a DT X O
great JJ X O
pension NN X O
scheme NN X O
, , X O
25 CD X O
days NNS X O
annual JJ X O
leave VBP X O
and CC X O
other JJ X O
various JJ X O
company NN X O
related VBD X O
benefits NNS X O
. . X O

It PRP X O
is VBZ X O
an DT X O
excellent JJ X O
career NN X O
opportunity NN X O
for IN X O
an DT X O
ACA NNP X B-Qualification
or CC X I-Qualification
ACCA NNP X I-Qualification
qualified VBD X O
looking VBG X O
for IN X O
a DT X O
managerial JJ X B-Occupation
role NN X I-Occupation
offering NN X O
responsibility NN X O
, , X O
autonomy NN X O
and CC X O
the DT X O
opportunity NN X O
to TO X O
progress VB X O
to TO X O
Partnership NNP X O
level NN X O
. . X O

This DT X O
is VBZ X O
an DT X O
excellent JJ X O
opportunity NN X O
to TO X O
develop VB X O
and CC X O
progress VB X O
with IN X O
an DT X O
employer NN X O
of IN X O
choice NN X O
which WDT X O
has VBZ X O
won VBN X O
awards NNS X O
previously RB X O
for IN X O
its PRP$ X O
consistently RB X O
high JJ X O
standard NN X O
of IN X O
quality NN X O
. . X O

Rare JJ X O
opening NN X O
for IN X O
a DT X O
highcalibre NN X B-Occupation
assistant NN X I-Occupation
at IN X O
this DT X O
prestigious JJ X O
City NNP X O
firm NN X O
with IN X O
a DT X O
highly RB X O
regarded JJ X O
commercial JJ X O
property NN X O
department NN X O
. . X O

Our PRP$ X O
client NN X O
offers VBZ X O
an DT X O
excellent JJ X O
salary NN X O
, , X O
commission NN X O
and CC X O
benefits NNS X O
package NN X O
and CC X O
with IN X O
an DT X O
unrivalled JJ X O
training NN X O
programme NN X O
, , X O
this DT X O
is VBZ X O
an DT X O
excellent JJ X O
opportunity NN X O
for IN X O
graduate NN X O
/ NNS X O
or CC X O
equivalent NN X O
to TO X O
start VB X O
their PRP$ X O
career NN X O
in IN X O
media NNS X O
sales NNS X O
. . X O

: : X O
Must NN X O
be VB X O
ACA NNP X B-Qualification
/ NNP X O
ACCA NNP X B-Qualification
qualified VBD X I-Qualification
ideally RB X O
from IN X O
a DT X O
leading VBG X O
Accountancy NNP X O
practice NN X O

This DT X O
is VBZ X O
a DT X O
hands NNS X B-Skill
on IN X I-Skill
role NN X O
, , X O
You PRP X O
will MD X O
need VB X O
a DT X B-Skill
wide JJ X I-Skill
knowledge NN X I-Skill
and CC X I-Skill
proven NN X I-Skill
background NN X I-Skill
in IN X I-Skill
Power NNP X I-Skill
Supply NNP X I-Skill
design NN X I-Skill
also RB X O
with IN X O
experience NN X B-Skill
in IN X I-Skill
digital JJ X I-Skill
power NN X I-Skill
control NN X I-Skill
technology NN X I-Skill
. . X O

Prompt JJ X O
weekly JJ X O
payment NN X O
FREE NNP X O
Mandatory NNP X O
Induction NNP X O
Training NNP X O

Whilst NNP X O
not RB X O
rocket VBZ X O
science NN X O
we PRP X O
are VBP X O
looking VBG X O
for IN X O
a DT X B-Skill
firm NN X I-Skill
grounding NN X I-Skill
in IN X I-Skill
the DT X I-Skill
relevant JJ X I-Skill
networking NN X I-Skill
technologies NNS X I-Skill
, , X O
the DT X B-Skill
market NN X I-Skill
and CC X I-Skill
Security NNP X I-Skill
solutions NNS X I-Skill
in IN X O
order NN X O
to TO X O
gain VB X B-Skill
maximum JJ X I-Skill
credibility NN X I-Skill
and CC X I-Skill
quickly RB X I-Skill
understand VB X I-Skill
the DT X I-Skill
pain NN X I-Skill
point NN X I-Skill
and CC X I-Skill
issues NNS X I-Skill
facing VBG X I-Skill
end NN X I-Skill
user NN X I-Skill
Clients NNS X I-Skill
. . X O

Our PRP$ X O
client NN X O
is VBZ X O
a DT X O
leading VBG X O
company NN X O
within IN X O
risk NN X O
management NN X O
particularly RB X O
within IN X O
Health NNP X B-Domain
Care NNP X I-Domain
are VBP X O
looking VBG X O
for IN X O
a DT X O
billing NN X B-Occupation
assistant NN X I-Occupation
to TO X B-Skill
support VB X I-Skill
their PRP$ X I-Skill
small JJ X I-Skill
but CC X I-Skill
busy JJ X I-Skill
finance NN X I-Skill
team NN X I-Skill
. . X O

You PRP X O
must MD X O
be VB X O
an DT X O
excellent JJ X O
communicator NN X B-Skill
at IN X I-Skill
all DT X I-Skill
levels NNS X I-Skill
and CC X O
sensitive JJ X B-Skill
to TO X I-Skill
the DT X I-Skill
needs NNS X I-Skill
of IN X I-Skill
our PRP$ X I-Skill
patients NNS X I-Skill
and CC X I-Skill
their PRP$ X I-Skill
families NNS X I-Skill
. . X O

The DT X O
ideal JJ X O
Technical NNP X B-Skill
Business NNP X I-Skill
Analyst NNP X I-Skill
will MD X O
have VB X O
: : X O
Full NNP X B-Skill
understanding NN X I-Skill
of IN X I-Skill
the DT X I-Skill
project NN X I-Skill
lifecycle VBZ X I-Skill
Vital NNP X O
to TO X O
have VB X O
a DT X O
strong JJ X O
understanding NN X O
of IN X O
SQL NNP X B-Skill
and CC X O
to TO X O
have VB X B-Skill
coded VBN X I-Skill
in IN X I-Skill
developmental JJ X I-Skill
capacity NN X I-Skill
Previous NNP X O
background NN X O
in IN X O
support NN X B-Domain
is VBZ X O
beneficial JJ X O
Background NNP X O
in IN X O
the DT X O
financial JJ X B-Domain
services NNS X I-Domain
sector NN X O

The DT X O
company NN X O
offers VBZ X O
an DT X O
individual JJ X O
choice NN X O
to TO X O
clients NNS X O
and CC X O
partners NNS X O
through IN X O
their PRP$ X O
combination NN X O
of IN X O
independence NN X O
and CC X O
size NN X O
. . X O

B NNP X O
Q NNP X O
achieved VBD X O
the DT X O
Observer NNP X B-Qualification
' POS X I-Qualification
s JJ X I-Qualification
Ethical NNP X I-Qualification
Business NNP X I-Qualification
Award NNP X I-Qualification
, , X O
is VBZ X O
listed VBN X O
on IN X O
the DT X O
Sunday NNP X O
Times NNP X O
Best NNP X O
Green JJ X O
Companies NNP X O
list NN X O
and CC X O
was VBD X O
the DT X O
first JJ X O
retailer NN X B-Occupation
to TO X O
buy VB X O
100 CD X O
% NN X O
responsibly RB X O
sourced VBD X O
wood NN X O
. . X O

We PRP X O
have VBP X O
a DT X O
variety NN X O
of IN X O
graduate NN X B-Qualification
roles NNS X O
on IN X O
at IN X O
present JJ X O

Having VBG X O
worked VBN X O
within IN X O
the DT X O
industry NN X O
as IN X O
a DT X O
General NNP X B-Occupation
Manager NNP X I-Occupation
within IN X O
a DT X O
reputable JJ X B-Domain
fresh JJ X I-Domain
food NN X I-Domain
business NN X I-Domain
you PRP X O
will MD X O
be VB X O
aspiring VBG X O
to TO X O
better VB X O
yourself PRP X O
with IN X O
regards NNS X O
to TO X O
level NN X O
of IN X O
service NN X O
and CC X O
professional JJ X O
development NN X O
. . X O

The DT X O
successful JJ X O
candidates NNS X O
needs NNS X O
to TO X O
bring VB X O
the DT X O
right JJ X O
blend NN X O
of IN X O
technology NN X B-Domain

Be NNP X O
confident JJ X B-Skill
and CC X O
experienced VBD X B-Skill
to TO X O
drive VB X O
sales NNS X B-Domain
through IN X O
building NN X B-Skill
relationships NNS X I-Skill
with IN X I-Skill
your PRP$ X I-Skill
team NN X I-Skill
, , X O
local JJ X B-Skill
business NN X I-Skill
and CC X I-Skill
suppliers NNS X I-Skill
, , X O
while IN X O
taking VBG X O
full JJ X O
P NNP X O
experience NN X O
as IN X O
a DT X O
General NNP X B-Occupation
Manager NNP X I-Occupation
in IN X O
a DT X O
high JJ X O
volume NN X O
, , X O
branded VBD X O
restaurant NN X O
site NN X O
Ability NNP X O
to TO X O
lead VB X B-Skill
and CC X I-Skill
motivate VB X I-Skill
, , X O
with IN X O
a DT X O
positive JJ X B-Skill
handsone NN X I-Skill
attitude NN X I-Skill
Strong NNP X O
sense NN X B-Skill
of IN X I-Skill
ownership NN X I-Skill
over IN X O
the DT X O
business NN X O
and CC X O
drive NN X B-Skill
to TO X I-Skill
progress VB X I-Skill
in IN X O
the DT X O
company NN X O

Three CD X O
months NNS X O
ongoing VBG X O
Job NNP X O
Summary NNP X O
To TO X O
provide VB X B-Skill
HR NNP X I-Skill
Business NNP X I-Skill
Partner NNP X I-Skill
expertise NN X I-Skill
to TO X O
the DT X O
Regional NNP X B-Occupation
Managers NNPS X O
supporting VBG X B-Skill
all DT X I-Skill
aspects NNS X I-Skill
of IN X I-Skill
workforce NN X I-Skill
performance NN X I-Skill
, , X O
sickness JJ X B-Skill
absence NN X I-Skill
, , X O
and CC X B-Skill
employee NN X I-Skill
relations NNS X I-Skill
to TO X O
enable VB X O
the DT X O
achievement NN X O
of IN X O
operational JJ X B-Skill
and CC X I-Skill
strategic JJ X I-Skill
objectives NNS X I-Skill
through IN X O
the DT X O
effective JJ X O
deployment NN X B-Skill
of IN X I-Skill
staff NN X I-Skill
. . X O

and CC X O
we PRP X O
mean VBP X O
that IN X O
in IN X O
the DT X O
nicest JJS X O
possible JJ X O
way NN X O
, , X O
who WP X O
thrive VBP X O
when WRB X O
no DT X O
two CD X O
days NNS X O
are VBP X O
the DT X O
same JJ X O
and CC X O
who WP X O
get VBP X O
a DT X O
kick NN X O
out IN X O
of IN X O
seeing VBG X O
the DT X O
germ NN X O
of IN X O
an DT X O
idea NN X O
turn NN X O
into IN X O
an DT X O
awardwinning NN X O
and CC X O
potentially RB X O
famous JJ X O
campaign NN X O
. . X O

Your PRP$ X O
duties NNS X O
will MD X O
include VB X O
full JJ X B-Skill
responsibility NN X I-Skill
for IN X I-Skill
the DT X I-Skill
project NN X I-Skill
, , X O
producing VBG X B-Skill
plans NNS X I-Skill
, , X O
planning NN X B-Skill
, , X O
schedules NNS X B-Skill
, , X O
Gannt NNP X B-Skill
charts VBZ X I-Skill
etc FW X O
but CC X O
with IN X O
the DT X O
opportunity NN X B-Skill
to TO X I-Skill
work VB X I-Skill
on IN X I-Skill
some DT X I-Skill
of IN X I-Skill
the DT X I-Skill
technical JJ X I-Skill
equipment NN X I-Skill
in IN X I-Skill
a DT X I-Skill
mechanical JJ X I-Skill
or CC X I-Skill
electrical JJ X I-Skill
capacity NN X I-Skill
. . X O

They PRP X O
' '' X O
re VBP X O
one CD X O
of IN X O
the DT X O
fastest JJS X O
growing VBG X O
cross NN X O
development NN X O
teams NNS X O
in IN X O
the DT X O
country NN X O
and CC X O
the DT X O
company NN X O
are VBP X O
on IN X O
the DT X O
verge NN X O
of IN X O
taking VBG X O
the DT X O
industry NN X B-Domain
sector NN X I-Domain
by IN X O
storm NN X O
. . X O

The DT X O
successful JJ X O
candidate NN X O
will MD X O
have VB X O
the DT X O
following NN X O
: : X O
Previous JJ X O
experience NN X O
of IN X O
building NN X B-Skill
advanced JJ X I-Skill
device NN X I-Skill
responsive NN X I-Skill
websites NNS X I-Skill
within IN X I-Skill
site NN X I-Skill
search NN X I-Skill
function NN X I-Skill
, , X O
and CC X B-Skill
blog NN X I-Skill
linking VBG X I-Skill
through IN X I-Skill
to TO X I-Skill
external JJ X I-Skill
networking NN X I-Skill
sites NNS X I-Skill
Wordpress NNP X I-Skill
skills NNS X I-Skill

You PRP X O
will MD X O
work VB X B-Skill
directly RB X I-Skill
with IN X I-Skill
the DT X I-Skill
underwriters NNS X I-Skill
under IN X O
the DT X O
guidance NN X O
of IN X O
the DT X O
Senior NNP X O
Pricing NNP X O
Actuary NNP X O
. . X O

Although IN X O
not RB X O
essential JJ X O
, , X O
a DT X O
qualification NN X O
in IN X O
food NN X B-Domain
and CC X O
hygiene NN X B-Domain
would MD X O
be VB X O
an DT X O
advantage NN X O
To TO X O
apply VB X O
for IN X O
the DT X O
role NN X O
of IN X O
Front NNP X B-Occupation
of IN X I-Occupation
House NNP X I-Occupation
please NN X O
apply VB X O
via IN X O
the DT X O
button NN X O
or CC X O
link VB X O
shown VBN X O
. . X O

As IN X O
part NN X O
of IN X O
a DT X O
European NNP X O
funded VBD X O
project NN X O
Universities NNS X O
in IN X O
the DT X O
Knowledge NNP X O
Economy NNP X O
UNIKE NNP X O
, , X O
the DT X O
University NNP X O
of IN X O
Roehampton NNP X O
Business NNP X O
School NNP X O
is VBZ X O
offering VBG X O
a DT X O
fullyfunded JJ X O
PhD NNP X O
studentship NN X O
. . X O

To TO X O
generate VB X B-Skill
and CC X I-Skill
display VB X I-Skill
the DT X I-Skill
results NNS X I-Skill
and CC X I-Skill
interpret VB X I-Skill
their PRP$ X I-Skill
physical JJ X I-Skill
implications NNS X I-Skill
. . X O

you PRP X O
ll VBP X O
also RB X O
get VBP X O
to TO X O
enjoy VB X O
a DT X O
competitive JJ X O
salary NN X O
, , X O
fantastic JJ X O
bonus NN X O
opportunities NNS X O
, , X O
and CC X O
all PDT X O
the DT X O
support NN X O
you PRP X O
need VBP X O
to TO X O
develop VB X O
the DT X O
career NN X O
you PRP X O
want VBP X O

You PRP X O
will MD X O
be VB X O
tasked VBN X O
with IN X O
developing VBG X B-Skill
a DT X I-Skill
partnership NN X I-Skill
programme NN X I-Skill
, , X O
managing VBG X B-Skill
new JJ X I-Skill
partnership NN X I-Skill
opportunities NNS X I-Skill
and CC X O
account NN X B-Skill
management NN X I-Skill
. . X O

The DT X O
school NN X O
was VBD X O
awarded VBN X O
many JJ X O
Good JJ X O
points NNS X O
at IN X O
the DT X O
last JJ X O
Ofsted NNP X O
and CC X O
has VBZ X O
continued VBN X O
to TO X O
improve VB X O
over IN X O
the DT X O
course NN X O
of IN X O
the DT X O
last JJ X O
few JJ X O
terms NNS X O
. . X O

A DT X O
successful JJ X O
candidate NN X O
will MD X O
be VB X O
able JJ X B-Skill
to TO X I-Skill
work VB X I-Skill
on IN X I-Skill
their PRP$ X I-Skill
own JJ X I-Skill
and CC X O
will MD X O
know VB X B-Skill
their PRP$ X I-Skill
way NN X I-Skill
around IN X I-Skill
the DT X I-Skill
workshop NN X I-Skill
. . X O

To TO X O
be VB X O
proactive JJ X O
in IN X O
preventing VBG X B-Skill
equipment NN X I-Skill
failures NNS X I-Skill
and CC X O
improving VBG X B-Skill
overall JJ X I-Skill
equipment NN X I-Skill
performance NN X I-Skill
by IN X O
generating VBG X O
and CC X O
implementing VBG X O
ideas NNS X O
and CC X O
modifications NNS X O
. . X O

To TO X O
find VB X O
out RP X O
more RBR X O
about IN X O
Progressive NNP X O
Recruitment NNP X O
please VB X O
visit NN X O
URL NNP X O
removed VBD X O

Previous JJ X O
Cleaning NNP X B-Skill
Experience NNP X I-Skill
is VBZ X O
essential JJ X O
, , X O
duties NNS X O
to TO X O
include VB X O
hovering NN X B-Skill
, , X O
dusting VBG X B-Skill
, , X O
mopping VBG X B-Skill
, , X O
buffing NN X B-Skill
, , X O
emtying VBG X B-Skill
bins NNS X I-Skill
and CC X O
